Transaction Date,Description,Credit amount,Debit amount
2025-01-01,ACME PAYROLL,3293.0,
2025-01-02,RENT PAYMENT,,1358.76
2025-01-03,TESCO STORE #1,,61.9
2025-01-04,TESCO STORE #2,,105.68
2025-01-05,TESCO STORE #3,,77.0
2025-01-06,TESCO STORE #4,,194.75
2025-01-08,UTILITY BILL ELECTRICITY,,131.35
2025-01-10,UTILITY BILL GAS,,61.9
2025-01-12,TRANSPORT OYSTER TOPUP 1,,42.27
2025-01-13,TRANSPORT OYSTER TOPUP 2,,33.21
2025-01-15,TRANSPORT OYSTER TOPUP 3,,40.76
2025-01-20,TRANSPORT OYSTER TOPUP 4,,28.68
2025-01-22,NETFLIX,,15.08
2025-01-24,SPOTIFY,,24.14
2025-01-25,GYM MEMBERSHIP,,45.28
2025-01-27,RESTAURANT #1,,49.82
2025-01-28,AMAZON ORDER #1,,43.78
2025-01-28,AMAZON ORDER #2,,39.25
2025-01-28,AMAZON ORDER #3,,63.41
2025-01-28,CASH WITHDRAWAL,,221.96
2025-01-28,RESTAURANT #2,,52.84
2025-01-28,RESTAURANT #3,,54.35
2025-02-01,ACME PAYROLL,3293.0,
2025-02-02,RENT PAYMENT,,1365.92
2025-02-03,TESCO STORE #1,,75.88
2025-02-05,TESCO STORE #2,,110.79
2025-02-06,TESCO STORE #3,,48.57
2025-02-07,TESCO STORE #4,,163.91
2025-02-09,UTILITY BILL ELECTRICITY,,139.63
2025-02-11,UTILITY BILL GAS,,80.44
2025-02-13,TRANSPORT OYSTER TOPUP 1,,47.05
2025-02-15,TRANSPORT OYSTER TOPUP 2,,27.32
2025-02-17,TRANSPORT OYSTER TOPUP 3,,28.84
2025-02-18,TRANSPORT OYSTER TOPUP 4,,30.35
2025-02-20,NETFLIX,,15.16
2025-02-22,SPOTIFY,,24.27
2025-02-24,GYM MEMBERSHIP,,45.52
2025-02-25,RESTAURANT #1,,59.19
2025-02-26,RESTAURANT #2,,54.64
2025-02-27,RESTAURANT #3,,47.05
2025-02-28,AMAZON ORDER #1,,56.15
2025-02-28,AMAZON ORDER #2,,59.19
2025-02-28,AMAZON ORDER #3,,44.01
2025-02-28,CASH WITHDRAWAL,,150.3
2025-03-01,ACME PAYROLL,3293.0,
2025-03-02,RENT PAYMENT,,1372.1
2025-03-03,TESCO STORE #1,,59.46
2025-03-04,TESCO STORE #2,,100.62
2025-03-06,TESCO STORE #3,,65.56
2025-03-07,TESCO STORE #4,,199.72
2025-03-09,UTILITY BILL ELECTRICITY,,132.64
2025-03-11,UTILITY BILL GAS,,67.08
2025-03-13,TRANSPORT OYSTER TOPUP 1,,27.44
2025-03-15,TRANSPORT OYSTER TOPUP 2,,30.49
2025-03-17,TRANSPORT OYSTER TOPUP 3,,36.59
2025-03-19,TRANSPORT OYSTER TOPUP 4,,50.31
2025-03-21,NETFLIX,,15.23
2025-03-23,SPOTIFY,,24.38
2025-03-25,GYM MEMBERSHIP,,45.72
2025-03-26,RESTAURANT #1,,59.46
2025-03-27,RESTAURANT #2,,53.36
2025-03-28,AMAZON ORDER #1,,59.46
2025-03-28,AMAZON ORDER #2,,62.51
2025-03-28,AMAZON ORDER #3,,42.69
2025-03-28,CASH WITHDRAWAL,,155.54
2025-03-28,RESTAURANT #3,,41.16
2025-04-01,ACME PAYROLL,3293.0,
2025-04-02,RENT PAYMENT,,1404.34
2025-04-03,TESCO STORE #1,,79.58
2025-04-05,TESCO STORE #2,,101.42
2025-04-06,TESCO STORE #3,,68.66
2025-04-08,TESCO STORE #4,,193.49
2025-04-10,UTILITY BILL ELECTRICITY,,129.51
2025-04-12,UTILITY BILL GAS,,60.85
2025-04-14,TRANSPORT OYSTER TOPUP 1,,31.21
2025-04-16,TRANSPORT OYSTER TOPUP 2,,24.97
2025-04-18,TRANSPORT OYSTER TOPUP 3,,43.69
2025-04-19,TRANSPORT OYSTER TOPUP 4,,35.89
2025-04-21,NETFLIX,,15.59
2025-04-23,SPOTIFY,,24.95
2025-04-25,GYM MEMBERSHIP,,46.8
2025-04-26,RESTAURANT #1,,57.73
2025-04-27,RESTAURANT #2,,53.05
2025-04-28,AMAZON ORDER #1,,60.85
2025-04-28,AMAZON ORDER #2,,51.49
2025-04-28,AMAZON ORDER #3,,63.98
2025-04-28,CASH WITHDRAWAL,,129.54
2025-04-28,RESTAURANT #3,,40.57
2025-05-01,ACME PAYROLL,3293.0,
2025-05-02,RENT PAYMENT,,1425.56
2025-05-03,TESCO STORE #1,,71.28
2025-05-04,TESCO STORE #2,,99.79
2025-05-06,TESCO STORE #3,,71.28
2025-05-07,TESCO STORE #4,,196.41
2025-05-09,UTILITY BILL ELECTRICITY,,129.88
2025-05-11,UTILITY BILL GAS,,77.61
2025-05-13,TRANSPORT OYSTER TOPUP 1,,44.35
2025-05-15,TRANSPORT OYSTER TOPUP 2,,34.85
2025-05-17,TRANSPORT OYSTER TOPUP 3,,30.1
2025-05-18,TRANSPORT OYSTER TOPUP 4,,34.85
2025-05-20,NETFLIX,,15.82
2025-05-22,SPOTIFY,,25.33
2025-05-24,GYM MEMBERSHIP,,47.5
2025-05-25,RESTAURANT #1,,68.11
2025-05-26,RESTAURANT #2,,49.1
2025-05-27,RESTAURANT #3,,42.77
2025-05-28,AMAZON ORDER #1,,68.11
2025-05-28,AMAZON ORDER #2,,44.35
2025-05-28,AMAZON ORDER #3,,55.44
2025-05-28,CASH WITHDRAWAL,,141.02
