Transaction Date,Description,Credit amount,Debit amount
2025-01-01,ACME PAYROLL,3780.0,
2025-01-02,RENT PAYMENT,,1437.38
2025-01-03,TESCO STORE #1,,65.48
2025-01-04,TESCO STORE #2,,111.8
2025-01-05,TESCO STORE #3,,81.45
2025-01-06,TESCO STORE #4,,206.02
2025-01-08,UTILITY BILL ELECTRICITY,,138.95
2025-01-10,UTILITY BILL GAS,,65.48
2025-01-12,TRANSPORT OYSTER TOPUP 1,,44.72
2025-01-13,TRANSPORT OYSTER TOPUP 2,,35.14
2025-01-15,TRANSPORT OYSTER TOPUP 3,,43.12
2025-01-20,TRANSPORT OYSTER TOPUP 4,,30.34
2025-01-22,NETFLIX,,15.95
2025-01-24,SPOTIFY,,25.54
2025-01-25,GYM MEMBERSHIP,,47.9
2025-01-27,RESTAURANT #1,,52.7
2025-01-28,AMAZON ORDER #1,,46.32
2025-01-28,AMAZON ORDER #2,,41.52
2025-01-28,AMAZON ORDER #3,,67.08
2025-01-28,CASH WITHDRAWAL,,234.8
2025-01-28,RESTAURANT #2,,55.9
2025-01-28,RESTAURANT #3,,57.5
2025-02-01,ACME PAYROLL,3780.0,
2025-02-02,RENT PAYMENT,,1425.01
2025-02-03,TESCO STORE #1,,79.17
2025-02-05,TESCO STORE #2,,115.58
2025-02-06,TESCO STORE #3,,50.67
2025-02-07,TESCO STORE #4,,171.0
2025-02-09,UTILITY BILL ELECTRICITY,,145.67
2025-02-11,UTILITY BILL GAS,,83.92
2025-02-13,TRANSPORT OYSTER TOPUP 1,,49.08
2025-02-15,TRANSPORT OYSTER TOPUP 2,,28.5
2025-02-17,TRANSPORT OYSTER TOPUP 3,,30.08
2025-02-18,TRANSPORT OYSTER TOPUP 4,,31.67
2025-02-20,NETFLIX,,15.82
2025-02-22,SPOTIFY,,25.32
2025-02-24,GYM MEMBERSHIP,,47.48
2025-02-25,RESTAURANT #1,,61.75
2025-02-26,RESTAURANT #2,,57.0
2025-02-27,RESTAURANT #3,,49.08
2025-02-28,AMAZON ORDER #1,,58.58
2025-02-28,AMAZON ORDER #2,,61.75
2025-02-28,AMAZON ORDER #3,,45.92
2025-02-28,CASH WITHDRAWAL,,156.8
2025-03-01,ACME PAYROLL,3780.0,
2025-03-02,RENT PAYMENT,,1439.2
2025-03-03,TESCO STORE #1,,62.37
2025-03-04,TESCO STORE #2,,105.54
2025-03-06,TESCO STORE #3,,68.76
2025-03-07,TESCO STORE #4,,209.48
2025-03-09,UTILITY BILL ELECTRICITY,,139.12
2025-03-11,UTILITY BILL GAS,,70.36
2025-03-13,TRANSPORT OYSTER TOPUP 1,,28.78
2025-03-15,TRANSPORT OYSTER TOPUP 2,,31.98
2025-03-17,TRANSPORT OYSTER TOPUP 3,,38.38
2025-03-19,TRANSPORT OYSTER TOPUP 4,,52.77
2025-03-21,NETFLIX,,15.98
2025-03-23,SPOTIFY,,25.57
2025-03-25,GYM MEMBERSHIP,,47.96
2025-03-26,RESTAURANT #1,,62.37
2025-03-27,RESTAURANT #2,,55.97
2025-03-28,AMAZON ORDER #1,,62.37
2025-03-28,AMAZON ORDER #2,,65.56
2025-03-28,AMAZON ORDER #3,,44.77
2025-03-28,CASH WITHDRAWAL,,163.14
2025-03-28,RESTAURANT #3,,43.18
2025-04-01,ACME PAYROLL,3780.0,
2025-04-02,RENT PAYMENT,,1477.76
2025-04-03,TESCO STORE #1,,83.74
2025-04-05,TESCO STORE #2,,106.73
2025-04-06,TESCO STORE #3,,72.25
2025-04-08,TESCO STORE #4,,203.6
2025-04-10,UTILITY BILL ELECTRICITY,,136.28
2025-04-12,UTILITY BILL GAS,,64.04
2025-04-14,TRANSPORT OYSTER TOPUP 1,,32.84
2025-04-16,TRANSPORT OYSTER TOPUP 2,,26.27
2025-04-18,TRANSPORT OYSTER TOPUP 3,,45.97
2025-04-19,TRANSPORT OYSTER TOPUP 4,,37.76
2025-04-21,NETFLIX,,16.4
2025-04-23,SPOTIFY,,26.25
2025-04-25,GYM MEMBERSHIP,,49.24
2025-04-26,RESTAURANT #1,,60.75
2025-04-27,RESTAURANT #2,,55.83
2025-04-28,AMAZON ORDER #1,,64.04
2025-04-28,AMAZON ORDER #2,,54.18
2025-04-28,AMAZON ORDER #3,,67.32
2025-04-28,CASH WITHDRAWAL,,136.32
2025-04-28,RESTAURANT #3,,42.69
2025-05-01,ACME PAYROLL,3780.0,
2025-05-02,RENT PAYMENT,,1515.66
2025-05-03,TESCO STORE #1,,75.78
2025-05-04,TESCO STORE #2,,106.1
2025-05-06,TESCO STORE #3,,75.78
2025-05-07,TESCO STORE #4,,208.82
2025-05-09,UTILITY BILL ELECTRICITY,,138.09
2025-05-11,UTILITY BILL GAS,,82.52
2025-05-13,TRANSPORT OYSTER TOPUP 1,,47.15
2025-05-15,TRANSPORT OYSTER TOPUP 2,,37.05
2025-05-17,TRANSPORT OYSTER TOPUP 3,,32.0
2025-05-18,TRANSPORT OYSTER TOPUP 4,,37.05
2025-05-20,NETFLIX,,16.82
2025-05-22,SPOTIFY,,26.93
2025-05-24,GYM MEMBERSHIP,,50.51
2025-05-25,RESTAURANT #1,,72.41
2025-05-26,RESTAURANT #2,,52.21
2025-05-27,RESTAURANT #3,,45.47
2025-05-28,AMAZON ORDER #1,,72.41
2025-05-28,AMAZON ORDER #2,,47.15
2025-05-28,AMAZON ORDER #3,,58.94
2025-05-28,CASH WITHDRAWAL,,149.93
